Total Population,Total Households,Median Household Income (Current Year $),Total Households For Period Of Construction,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 190,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Period Of Construction Built Between 2006 And 2010,Total Households For Period Of Construction Built Between 2011 And 2015,Total Households For Period Of Construction Built Between 2016 And 2021,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Total Households for Tenure,Dwellings by Tenure Owner,Dwellings by Tenure Renter
4602,2050,55200,2050,365,795,580,175,15,25,45,50,1135,915,0,2050,1115,935
4813,1905,54400,1905,690,820,80,120,30,40,105,30,180,1740,0,1905,690,1220
3568,1250,94000,1250,140,770,135,75,65,15,15,30,900,370,0,1250,940,300
5484,2470,52000,2470,1090,605,175,210,70,220,85,20,475,1995,0,2470,750,1725
4962,1500,88000,1500,735,585,110,50,0,0,0,10,1020,500,0,1500,1190,305
6910,2305,90000,2305,0,10,50,340,710,985,170,35,1770,540,0,2305,1850,460
4053,1525,80000,1525,80,1010,270,35,15,15,15,90,1280,240,5,1525,1220,310
3648,1530,68000,1530,185,260,170,310,130,130,155,195,970,365,195,1530,1065,470
4580,1370,120000,1370,45,30,75,345,715,115,30,0,1315,30,25,1370,1275,90
4224,1740,68500,1740,340,460,260,240,60,120,90,170,1490,200,50,1740,1425,320
3551,1225,108000,1225,70,25,10,15,35,220,520,335,1185,30,10,1225,1030,190
6925,2440,95000,2440,10,865,415,170,90,15,10,870,2425,5,10,2440,1955,485
5007,2240,81000,2240,140,450,305,235,280,295,300,235,2135,120,0,2240,2090,155
7043,2770,88000,2770,465,480,135,220,180,255,605,415,2685,20,65,2770,2325,445
4623,1740,80000,1740,450,1215,45,20,10,0,0,0,970,765,5,1740,1445,295
2352,905,90000,905,10,770,85,30,0,0,0,0,785,135,0,905,705,200
5271,1660,99000,1660,120,525,160,275,185,265,70,45,1635,30,0,1660,1510,145
2649,1080,64500,1080,230,315,160,120,60,65,95,35,825,220,35,1080,815,265
1643,720,55200,720,230,240,120,70,20,10,15,15,575,130,15,720,515,205
570,170,74500,170,0,55,50,35,10,0,0,10,80,75,15,170,30,20
3968,1660,90000,1660,145,740,225,155,90,55,60,185,1235,405,20,1660,1280,385
6454,2205,93000,2205,130,395,930,420,170,60,65,35,2075,130,0,2205,2060,145
3638,1640,66000,1640,150,505,490,155,145,70,100,30,1110,515,15,1640,1075,565
3934,1435,99000,1435,90,445,310,175,90,170,95,60,1315,125,0,1435,1290,145
9150,3320,91000,3320,230,945,385,360,355,460,205,380,2330,975,15,3320,2600,725
5131,2410,62800,2410,100,785,335,305,200,295,85,310,680,1725,5,2410,780,1635
3685,1270,56000,1270,330,625,150,105,25,0,15,15,425,845,0,1270,240,1030
7089,4300,62800,4300,125,110,270,1215,900,810,490,375,100,4195,5,4300,1540,2760
3403,1040,100000,1040,175,235,135,230,90,60,45,70,885,140,15,1040,775,265
3812,1360,80000,1360,15,60,130,435,65,305,240,125,1195,210,0,1360,835,525
4865,2060,76000,2060,370,1035,260,190,65,40,40,60,1500,570,0,2060,1520,540
6190,2170,92000,2170,30,900,585,420,90,35,0,115,1945,260,0,2170,1815,355
2183,935,69000,935,620,245,15,25,15,0,0,15,265,655,15,935,315,615
1418,615,139000,615,330,95,120,45,15,0,0,0,380,250,0,615,465,150
3275,1750,62000,1750,210,685,200,165,25,15,125,325,45,1725,0,1750,620,1130
1085,585,89000,585,110,15,0,15,100,300,35,15,225,335,25,585,465,120
5005,1760,105000,1760,50,240,840,310,215,65,25,0,1635,125,0,1760,1590,165
6502,2970,50000,2970,945,870,305,340,110,100,130,165,1550,1330,90,2970,1655,1315
5151,2180,69000,2180,30,545,1075,360,45,20,70,35,1220,625,335,2180,1775,405
2547,1310,43600,1310,560,580,100,35,15,0,10,0,0,1285,25,1310,135,1175
4690,1290,103000,1290,40,105,90,130,70,295,345,220,655,655,0,1290,900,395
6382,2945,68500,2945,460,1360,605,235,60,105,65,55,1905,1055,0,2945,1975,975
245,55,,55,15,15,10,0,0,0,10,0,25,70,0,55,10,45
2197,955,60800,955,320,315,150,70,10,25,30,35,195,790,0,955,420,540
7509,2700,94000,2700,45,310,1020,575,235,205,240,70,2060,640,0,2700,2245,455
3810,1635,62000,1635,935,235,50,65,30,60,140,125,1015,630,0,1635,895,740
5534,1725,100000,1725,10,45,575,780,70,35,185,25,1400,330,0,1725,1365,365
5855,2240,93000,2240,130,1400,295,210,30,50,50,80,1595,620,25,2240,1730,510
3814,1245,69000,1245,295,465,175,100,40,35,55,75,855,395,0,1245,745,495
4540,1525,84000,1525,50,600,405,320,105,30,15,0,1495,60,0,1525,1180,345
3314,1230,75000,1230,735,345,45,50,30,20,0,10,1120,115,0,1230,805,430
5334,1700,102000,1700,0,25,10,40,110,1065,425,25,1410,220,70,1700,1190,505
2774,945,101000,945,75,160,75,170,135,165,70,95,905,20,20,945,910,40
5211,1900,74500,1900,40,1510,190,80,50,20,10,0,1450,455,0,1900,1255,645
4556,1300,83000,1300,25,515,590,120,20,15,15,10,1095,180,25,1300,1125,170
4423,1965,75000,1965,1440,300,80,45,20,10,15,60,565,1390,10,1965,970,990
5153,1880,63200,1880,405,735,275,435,10,0,10,10,490,1350,40,1880,530,1350
2651,785,91000,785,85,555,65,30,25,0,0,20,570,200,15,785,635,150
4801,2145,66500,2145,510,1040,230,175,30,70,55,45,1715,435,0,2145,1630,520
3214,1915,48400,1915,425,915,210,170,40,40,35,80,245,1670,0,1915,135,1780
6706,2610,94000,2610,0,0,0,15,50,685,1300,560,1595,955,60,2610,1910,700
2543,900,92000,900,15,175,630,70,0,0,0,0,745,145,10,900,800,105
6779,3405,57600,3405,20,110,365,440,185,725,1120,450,20,3350,35,3405,1720,1685
5611,3255,89000,3255,345,105,240,640,710,450,505,265,340,2850,65,3255,1895,1360
5422,1900,124000,1900,0,25,195,530,685,325,125,10,1840,40,20,1900,1820,85
6920,3085,54000,3085,1675,875,215,125,30,25,30,105,1890,1250,0,3085,1555,1525
5057,2330,60000,2330,1390,555,105,180,50,0,10,35,1865,480,0,2330,1420,910
4802,2650,40000,2650,465,910,375,285,320,145,100,45,95,2640,0,2650,320,2330
2042,960,67000,960,210,465,130,100,20,20,0,10,530,425,5,960,515,440
1752,665,178000,665,565,30,0,0,0,10,10,40,550,105,10,665,575,80
4667,1600,68500,1600,125,955,315,130,25,25,20,10,555,1015,30,1600,1000,595
6042,3360,38800,3360,1100,800,245,325,60,15,20,810,375,2945,40,3360,570,2790
4639,1635,113000,1635,180,535,250,245,110,155,110,50,1590,40,5,1635,1370,265
4311,1660,99000,1660,765,100,170,190,75,100,135,125,860,765,35,1660,1135,530
6017,2070,110000,2070,350,785,255,190,185,105,75,125,1115,955,0,2070,1720,345
3495,1170,108000,1170,0,0,0,15,105,785,220,30,1120,40,10,1170,935,235
4963,2960,68500,2960,425,555,135,170,155,775,380,360,115,2815,30,2960,915,2045
2911,1040,136000,1040,890,55,10,25,10,10,20,25,765,255,20,1040,750,295
3680,1290,87000,1290,310,180,80,185,395,95,40,0,880,440,0,1290,870,420
8160,3040,83000,3040,255,1015,480,510,310,255,110,85,2230,800,10,3040,2490,545
4426,2360,62400,2360,140,900,740,350,105,60,45,20,70,2285,5,2360,640,1720
3346,1330,72500,1330,425,375,180,155,65,60,40,35,1220,90,20,1330,1130,200
2968,1120,84000,1120,190,305,135,140,55,55,160,90,1020,100,0,1120,980,140
3945,1510,76000,1510,145,730,240,280,75,30,0,0,1200,315,0,1510,1030,480
7066,3325,54400,3325,1265,1100,585,215,30,10,55,60,880,2445,0,3325,1350,1975
4724,1910,69000,1910,390,630,230,180,155,160,85,85,1710,30,170,1910,1585,325
1888,640,190000,640,365,85,80,35,25,20,10,10,640,25,0,640,605,35
6019,3195,48800,3195,845,1175,250,245,130,205,160,195,735,2465,0,3195,515,2675
4274,1515,109000,1515,0,35,300,1135,25,10,10,0,1500,5,10,1515,1385,125
2137,880,91000,880,90,390,180,130,0,40,35,20,760,95,25,880,720,160
4294,1755,94000,1755,70,185,925,305,85,35,95,50,1175,530,50,1755,1440,320
4864,1810,84000,1810,20,475,855,310,140,15,0,0,1480,340,0,1810,1380,435
6451,2445,95000,2445,680,910,460,250,15,90,30,15,2155,305,0,2445,2040,400
2854,1160,83000,1160,830,215,70,35,10,0,0,0,1065,55,40,1160,990,170
3325,1185,85000,1185,415,425,85,45,120,30,55,10,985,200,0,1185,985,205
6203,2265,93000,2265,535,945,520,110,75,30,45,20,1960,310,0,2265,1710,560
5335,2060,99000,2060,255,605,390,360,160,80,80,125,1660,405,0,2060,1475,590
3398,1810,54800,1810,1350,355,55,0,0,0,10,35,1205,350,255,1810,1225,575
5084,2000,62000,2000,455,980,190,170,60,30,35,75,1570,415,15,2000,1065,935
4870,3240,53600,3240,755,1350,385,290,150,0,20,285,25,3170,45,3240,340,2895
5010,1950,67000,1950,10,95,140,415,485,630,155,20,0,1955,0,1950,975,970
25,,,,,,,,,,,,0,0,0,,,
3185,1355,93000,1355,110,70,680,395,85,0,15,0,1225,115,15,1355,1180,175
6517,2160,73500,2160,375,1185,370,155,30,20,0,15,930,1230,0,2160,1080,1075
2946,810,111000,810,20,45,140,110,40,235,135,85,390,450,0,810,560,250
5813,3285,39600,3285,1175,620,350,455,180,135,210,165,475,2830,0,3285,775,2515
3703,1215,123000,1215,170,700,120,95,35,30,25,40,1115,130,0,1215,970,240
2663,1100,76000,1100,895,120,20,15,0,0,15,30,1005,90,5,1100,910,195
3098,1720,62400,1720,390,735,180,240,40,20,60,45,140,1560,20,1720,630,1085
2900,895,95000,895,35,270,310,90,15,45,80,45,520,375,0,895,565,330
3814,1490,64500,1490,115,720,205,270,125,25,20,10,925,605,0,1490,290,1200
2669,1070,93000,1070,0,685,370,10,0,0,0,0,1050,5,15,1070,1000,70
3421,1275,79000,1275,30,840,300,45,15,35,10,0,1175,100,0,1275,980,300
5008,1905,112000,1905,495,1100,75,90,20,20,50,50,1340,565,0,1905,1395,510
5726,2465,62800,2465,0,10,15,100,575,1285,430,55,1020,1435,10,2465,1755,710
7203,2515,89000,2515,310,550,235,465,240,345,205,170,2335,10,170,2515,2230,290
4201,1630,94000,1630,90,235,75,155,170,385,295,225,1515,80,35,1630,1445,190
3298,1265,77000,1265,30,630,520,55,15,0,0,0,1180,90,0,1265,1125,135
3360,1150,108000,1150,0,0,0,25,110,785,155,75,1120,0,30,1150,955,190
3726,1265,104000,1265,0,115,685,445,10,0,0,0,1260,15,0,1265,1135,135
4169,1980,78000,1980,35,110,595,990,145,30,20,60,1360,620,0,1980,1420,560
4396,1730,88000,1730,570,570,160,205,45,90,50,30,1575,110,45,1730,1570,160
3272,1100,123000,1100,0,10,120,750,155,55,0,0,1105,0,0,1100,1040,60
3452,1375,58000,1375,380,670,130,85,20,10,50,30,205,1185,0,1375,360,1010
3982,1865,81000,1865,20,685,785,70,60,30,185,30,1235,600,30,1865,1500,370
5691,3155,48000,3155,900,1480,295,200,80,30,30,135,280,2860,15,3155,630,2530
3371,1310,99000,1310,10,145,1055,45,20,20,0,0,1305,5,0,1310,1195,110
3630,1825,86000,1825,700,365,140,35,20,75,270,230,915,880,30,1825,985,840
5447,2125,79000,2125,185,840,745,225,45,15,10,70,1730,390,5,2125,1540,585
6712,1580,145000,1580,0,0,10,15,25,265,1095,175,1520,25,35,1580,1490,95
5831,1935,94000,1935,50,195,125,250,455,560,250,50,1850,75,10,1935,1635,300
3883,1835,44000,1835,750,590,180,205,35,50,15,10,700,1190,0,1835,435,1400
2148,1125,62800,1125,800,175,70,40,20,0,15,10,40,1090,0,1125,400,730
6451,2190,93000,2190,15,25,40,685,275,680,350,125,1675,485,30,2190,1575,620
3283,1215,82000,1215,395,330,165,170,40,50,30,45,1090,55,70,1215,1040,180
6363,3460,75500,3460,150,140,100,1070,730,850,235,190,110,3295,55,3460,1495,1965
1827,695,91000,695,255,375,30,20,0,10,0,0,700,5,0,695,525,170
4674,1205,107000,1205,205,215,110,70,15,40,190,355,1180,35,0,1205,935,270
4680,1850,101000,1850,10,150,970,695,15,0,10,0,1785,25,40,1850,1695,160
5970,2475,82000,2475,325,640,395,340,110,145,230,290,1135,1350,0,2475,1640,835
3767,2380,67500,2380,145,15,15,140,270,305,555,950,0,2480,0,2380,960,1420
3185,1480,52400,1480,1070,285,40,55,10,10,0,0,1085,440,0,1480,915,565
14443,4265,99000,4265,290,235,70,125,275,535,885,1845,4145,115,5,4265,3070,1195
2714,1060,103000,1060,745,160,35,60,20,20,10,10,865,200,0,1060,780,280
0,,,,,,,,,,,,0,0,0,,,
7349,2735,95000,2735,10,880,1060,290,220,120,145,0,2280,450,5,2735,2335,400
820,295,118000,295,145,45,0,10,0,10,20,70,290,10,0,295,270,25
4450,2225,88000,2225,10,80,875,680,370,95,105,20,565,1655,5,2225,1845,385
4159,1305,168000,1305,330,395,70,55,50,125,165,115,1245,45,15,1305,1160,145
6338,2140,101000,2140,240,1100,210,430,65,15,10,75,1455,705,0,2140,1720,420
120,40,,40,0,10,10,10,0,0,0,0,30,5,5,40,25,10
4077,2325,52400,2325,570,730,465,245,15,75,135,90,160,2195,0,2325,525,1800
3490,1560,60000,1560,155,595,500,120,55,50,80,0,680,855,25,1560,775,785
4600,2095,68000,2095,60,815,770,180,145,100,15,15,1165,905,25,2095,1155,945
4511,1955,56400,1955,1085,545,120,85,40,35,45,10,1435,550,0,1955,985,970
8619,3305,82000,3305,70,595,965,465,365,510,310,35,2240,990,75,3305,2590,720
456,280,44400,280,15,70,150,10,0,10,0,0,50,0,230,280,255,10
2699,1130,50800,1130,335,270,80,85,315,20,30,0,175,965,0,1130,410,720
4663,1510,91000,1510,770,600,40,45,30,10,0,15,1095,450,0,1510,1140,375
5853,2510,94000,2510,75,440,1250,385,215,65,10,75,1805,710,0,2510,2070,445
3587,1385,74500,1385,710,345,110,60,30,25,20,90,580,840,0,1385,690,695
5691,1735,102000,1735,25,285,995,365,45,15,0,10,1575,170,0,1735,1580,155
3223,1190,124000,1190,20,75,280,575,95,110,30,10,1150,10,30,1190,1150,40
7336,2065,92000,2065,10,0,15,15,20,260,1000,745,1530,585,0,2065,1445,620
4596,2180,68000,2180,1305,490,200,90,15,35,30,20,1030,1145,5,2180,1075,1105
1097,485,54800,485,310,155,15,10,0,0,0,0,425,95,0,485,360,130
1607,930,42400,930,480,265,55,15,0,45,35,35,235,705,0,930,325,605
1449,490,99000,490,45,130,65,70,50,40,35,60,495,0,0,490,470,25
6323,2885,69000,2885,800,535,115,190,325,545,250,120,1040,1880,0,2885,1435,1450
6248,2565,52000,2565,705,1185,340,115,100,75,20,20,355,2215,0,2565,620,1945
7992,4930,54800,4930,440,255,560,660,555,280,245,1930,20,4870,40,4930,1495,3430
4069,1275,100000,1275,15,290,815,125,15,10,0,0,1175,120,0,1275,1120,155
4352,1700,101000,1700,0,95,1005,505,50,25,10,0,1240,460,0,1700,1555,145
3174,1260,79000,1260,180,910,105,50,0,10,0,0,860,415,0,1260,820,435
2810,1300,58400,1300,320,215,75,95,255,245,40,50,390,875,35,1300,595,710
5853,2060,113000,2060,0,10,0,440,520,70,510,515,1820,225,15,2060,1550,510
4010,1575,66000,1575,55,255,470,390,205,120,65,10,820,760,0,1575,895,680
4742,2155,62400,2155,560,460,310,225,80,100,165,250,1370,790,0,2155,1425,725
1587,815,60000,815,405,125,40,60,105,40,10,40,180,620,15,815,330,485
5957,2045,98000,2045,0,30,75,1510,85,10,80,250,2000,50,0,2045,1565,475
244,70,,70,10,20,20,20,0,0,0,0,60,5,5,70,30,0
1604,615,49200,615,190,205,70,90,15,20,20,15,220,435,0,615,175,440
4596,2140,52000,2140,920,865,150,95,50,25,30,0,925,1230,0,2140,875,1265
105,30,,30,0,10,10,10,0,0,0,0,15,10,5,30,10,0
5635,1885,75000,1885,25,1425,300,80,25,20,0,0,1620,265,0,1885,1340,540
8468,3205,87000,3205,330,510,170,270,160,635,715,405,2950,230,25,3205,2965,230
3353,1180,95000,1180,85,305,10,35,25,120,330,270,1095,95,0,1180,1015,165
940,355,55600,355,305,45,0,0,0,0,0,0,345,55,0,355,210,140
4460,1450,96000,1450,0,15,165,315,420,210,225,100,1225,210,15,1450,1235,215
5616,1875,69500,1875,45,355,620,535,75,65,80,95,830,1040,5,1875,1175,700
4342,1700,82000,1700,45,340,970,175,20,40,45,65,1255,445,0,1700,1355,345
5569,1570,89000,1570,360,485,195,145,110,85,60,130,615,955,0,1570,845,730
5261,2190,63200,2190,115,1575,145,80,120,120,15,25,1435,765,0,2190,1540,655
2821,1280,94000,1280,600,200,25,60,15,95,80,205,915,355,10,1280,995,280
4976,2410,58800,2410,135,670,475,370,80,300,150,230,615,1800,0,2410,1405,1005
5582,1835,114000,1835,0,10,30,885,435,410,45,15,1835,0,0,1835,1715,120
5190,2095,92000,2095,115,885,140,115,40,35,225,535,865,1245,0,2095,1375,720
3440,2075,58800,2075,1160,530,215,115,15,0,25,15,95,1965,15,2075,855,1220
6464,2055,101000,2055,40,190,1520,250,20,15,10,0,1930,100,25,2055,1895,160
1466,610,41200,610,290,140,70,25,20,0,35,20,350,305,0,610,200,410
2666,1235,56800,1235,880,285,50,0,0,0,10,0,1075,145,15,1235,785,455
3495,1425,90000,1425,965,365,45,20,15,10,0,10,1350,75,0,1425,1050,370
4310,1700,64500,1700,235,885,390,135,25,10,0,20,1140,545,15,1700,905,800
13230,3585,94000,3585,15,20,10,10,10,45,720,2750,3085,490,10,3585,3125,455
5541,1635,121000,1635,0,65,770,580,165,25,20,10,1575,55,5,1635,1505,130
3576,1835,51600,1835,685,685,120,85,40,75,55,85,380,1440,15,1835,565,1265
2709,810,84000,810,115,525,55,65,10,0,15,30,545,270,0,810,635,175
4058,1345,67500,1345,475,785,40,30,0,10,0,0,425,950,0,1345,770,575
4743,1870,88000,1870,15,410,680,525,40,95,80,25,1440,445,0,1870,1450,420
4379,1510,92000,1510,385,365,165,175,210,95,80,30,1240,175,95,1510,1235,280
955,370,89000,370,40,105,50,30,20,15,20,85,335,20,15,370,320,50
2688,980,74000,980,40,845,40,20,10,10,0,20,915,60,5,980,725,260
2656,650,152000,650,0,0,0,20,245,340,35,0,650,0,0,650,605,45
4418,2720,48800,2720,435,725,260,205,220,320,435,130,210,2545,0,2720,700,2025
2414,1070,68500,1070,495,145,25,40,60,90,80,140,920,155,0,1070,830,245
4968,2415,56000,2415,245,1155,470,230,50,45,75,140,880,1545,0,2415,1030,1385
4403,1395,80000,1395,100,130,115,155,70,365,240,210,1230,215,0,1395,965,430
3963,1450,71000,1450,85,1120,130,90,10,15,0,0,890,590,0,1450,895,555
4966,1670,89000,1670,15,20,40,305,770,270,170,85,1355,310,5,1670,1310,360
4376,1525,87000,1525,15,165,565,475,265,35,15,0,1020,495,10,1525,1035,495
5271,1995,94000,1995,160,815,425,140,110,160,35,150,1460,560,0,1995,1660,335
3312,1105,98000,1105,25,195,745,125,0,10,10,0,900,180,25,1105,860,245
6349,2330,88000,2330,605,605,215,390,95,130,140,145,1935,405,0,2330,1720,605
6930,2265,99000,2265,185,405,265,70,35,30,275,995,2230,35,0,2265,2040,225
4141,1305,83000,1305,10,0,10,105,380,400,160,245,590,715,0,1305,1150,155
5393,1795,106000,1795,20,415,1220,115,15,0,0,0,1655,130,10,1795,1585,205
3929,1525,72000,1525,945,245,200,80,20,0,0,20,385,1125,15,1525,720,800
4630,1725,91000,1725,75,890,160,245,90,80,85,105,1390,295,40,1725,1505,225
7295,3015,71500,3015,735,680,340,375,160,245,210,250,2190,725,100,3015,2260,755
0,,,,,,,,,,,,0,0,0,,,
6056,1730,135000,1730,20,10,15,325,625,505,200,15,1735,5,0,1730,1675,55
3580,1455,66500,1455,615,415,350,45,10,0,10,15,1115,295,45,1455,840,625
2518,1430,56800,1430,770,300,125,75,70,30,35,15,15,1375,40,1430,325,1110
2240,870,91000,870,65,35,175,255,175,80,70,15,680,195,0,870,815,55
6345,2625,110000,2625,305,1040,840,220,115,45,15,40,1675,955,0,2625,2385,245
2696,1445,41600,1445,570,385,140,120,75,45,35,85,395,1070,0,1445,305,1140
2144,865,106000,865,0,60,565,225,0,0,0,0,710,140,15,865,820,45
6931,2420,92000,2420,65,1285,715,230,25,35,25,45,2165,245,10,2420,1465,960
3710,1425,101000,1425,35,1290,25,10,0,10,35,20,1375,55,0,1425,1175,250
1854,610,98000,610,345,85,30,30,10,10,50,40,400,230,0,610,450,160
3525,1375,61200,1375,285,570,145,100,20,10,35,210,160,1235,0,1375,415,960
5855,1885,91000,1885,275,440,205,350,150,155,125,175,1015,870,0,1885,1370,520
3396,1565,60800,1565,85,330,535,410,45,40,15,105,510,1065,0,1565,860,705
3626,1460,113000,1460,15,1200,165,35,10,10,15,10,1305,135,20,1460,1220,245
5518,3500,61600,3500,420,855,230,195,410,435,285,665,5,3640,0,3500,980,2520
2944,1345,74500,1345,125,735,90,125,35,70,70,100,850,485,10,1345,975,370
2605,1330,50000,1330,535,385,80,155,70,30,70,10,145,1230,0,1330,380,950
2774,1435,67000,1435,925,215,70,55,35,65,15,50,425,1035,0,1435,460,975
5602,1855,104000,1855,15,345,60,575,500,155,105,90,1765,90,0,1855,1650,205
2414,740,101000,740,0,10,0,45,495,175,10,10,750,0,0,740,605,135
3621,1155,95000,1155,85,370,195,180,100,80,95,55,1095,55,5,1155,1085,70
7570,3095,60800,3095,570,2105,225,125,15,15,20,25,480,2615,0,3095,1025,2075
3757,1800,73500,1800,1320,260,110,90,0,10,0,10,410,1425,0,1800,690,1110
1769,735,73500,735,140,205,110,95,50,45,50,40,740,0,0,735,685,50
3753,1455,86000,1455,30,720,450,150,50,10,10,25,1250,215,0,1455,1250,210
6522,2760,71000,2760,1015,765,335,330,135,60,30,90,2435,315,10,2760,2130,630
7297,2470,103000,2470,115,1625,475,90,20,30,30,80,1985,490,0,2470,2140,330
5857,1900,116000,1900,145,1025,580,50,15,10,15,55,1780,125,0,1900,1675,220
819,305,98000,305,210,15,10,25,0,0,35,20,245,60,0,305,235,70
5207,2040,74000,2040,130,895,770,210,35,0,0,0,1330,685,25,2040,1200,840
3736,1510,86000,1510,95,285,275,345,140,120,100,145,1175,325,10,1510,1190,315
2717,1625,55600,1625,355,265,335,85,100,50,210,220,130,1485,10,1625,405,1220
4998,1675,105000,1675,35,260,985,310,15,20,0,45,1605,55,15,1675,1620,55
5081,2295,61200,2295,115,590,535,485,155,70,75,265,1700,485,110,2295,1445,850
3918,1685,65500,1685,125,1350,105,70,15,10,0,0,1065,630,0,1685,920,765
2963,1540,41200,1540,935,320,80,55,65,40,35,0,340,1160,40,1540,445,1100
3162,1600,56400,1600,1095,350,85,40,0,15,10,0,70,1520,10,1600,435,1165
2928,1135,67000,1135,425,315,135,70,35,40,45,60,935,200,0,1135,860,275
5718,1510,109000,1510,10,15,65,1110,265,35,0,10,1420,80,10,1510,1345,170
4910,1665,112000,1665,10,0,65,750,230,210,250,150,1465,180,20,1665,1550,110
5669,1645,98000,1645,40,530,510,145,245,125,25,30,1270,370,5,1645,1265,375
2372,1510,42000,1510,1215,95,70,90,15,10,0,10,60,1490,0,1510,325,1175
5313,2410,54400,2410,860,775,295,175,55,85,135,30,1190,1215,5,2410,1135,1275
8859,2880,101000,2880,105,130,345,415,785,435,280,385,2730,155,0,2880,2360,520
3292,1625,60000,1625,200,575,40,30,25,30,405,320,990,600,35,1625,665,960
2919,1325,56400,1325,260,775,140,100,15,25,10,0,915,395,15,1325,645,680
4262,1600,110000,1600,15,385,1085,90,10,0,0,10,1590,0,10,1600,1445,155
5734,2275,98000,2275,50,395,425,200,110,125,90,880,1965,310,0,2275,1780,490
2351,715,93000,715,75,595,25,15,0,0,0,0,595,145,0,715,590,125
1153,465,87000,465,50,250,50,50,15,20,30,10,410,45,10,465,415,45
4303,1635,110000,1635,0,15,55,610,525,315,75,40,1345,320,0,1635,1495,145
6675,2565,103000,2565,15,15,170,805,610,585,305,55,2120,440,5,2565,2305,260
4688,2075,54000,2075,625,1095,120,120,40,30,25,25,1060,1020,0,2075,865,1205
5896,2145,82000,2145,60,595,655,420,200,70,10,140,1360,780,5,2145,1790,360
5451,2205,97000,2205,40,370,915,280,70,80,250,195,1625,560,20,2205,1830,370
4679,1735,91000,1735,15,75,1125,245,10,10,145,105,1445,295,0,1735,1570,165
4964,2895,51200,2895,1415,685,350,250,20,50,40,85,180,2715,0,2895,940,1955
3351,1355,90000,1355,1200,115,20,10,0,0,0,0,480,890,0,1355,655,695
3665,1710,54400,1710,855,550,125,90,30,10,25,25,645,1025,40,1710,600,1110
3915,1710,80000,1710,25,85,80,195,215,420,325,370,1180,270,260,1710,1460,170
7151,2880,91000,2880,1345,455,135,255,225,165,175,125,2020,870,0,2880,2165,720
